σ,σ_ss,n_default,degree,interm,interm_assets,eq_r_l,mean_liq,mean_ib_share,mean_eq_req,mean_n_share
4.001,-0.0,9,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,5,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,2,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,4,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,3,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,4,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,1,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,1,1.4,0,0.0,0.019433593750000006,0.01001503545016502,0.11509908364668194,0.11932038472295285,0.7429498509779842
4.001,-0.0,7,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,10,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,10,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,1,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,1,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,2,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,6,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,1,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,1,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,1,1.5,0,0.0,0.055484986305236815,0.009855997880923999,0.11525577685510437,0.11642615705259787,0.7369605586226988
4.001,-0.0,1,1.0,0,0.0,0.042565917968750006,0.01120614278101264,0.10663784180939156,0.13439590375451413,0.6790718048438011
4.001,-0.0,2,1.0,0,0.0,0.042565917968750006,0.01120614278101264,0.10663784180939156,0.13439590375451413,0.6790718048438011
